W_PCT,AGE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,FP,DD2,TD3
0.5,28,1.6,2.5,0.632,0,0,0,1,1.5,0.622,1,2.2,3.2,1.4,0.6,0.5,1.1,0.3,2.5,1.4,4.2,-0.2,14.6,2,0
0.457,24,5.1,11,0.461,0,0,0,2.5,3.4,0.745,2.2,5.3,7.5,2,2.3,0.4,1.8,0.9,3.2,3.5,12.7,-0.4,29,21,0
0.8,29,0.6,1.5,0.421,0.3,0.6,0.438,0.1,0.1,1,0.1,0.6,0.6,0.3,0.2,0.2,0,0,0.7,0.2,1.6,-1.3,3.5,0,0
0.59,26,2.7,7.4,0.37,1.5,4.6,0.321,1.6,1.9,0.863,0.5,1.7,2.2,2.5,1.1,1.1,0.2,0.2,1.7,1.8,8.6,1.2,17.7,0,0
0.556,24,7.6,16.1,0.471,1.1,2.7,0.396,3.6,4.5,0.805,1.5,4.7,6.2,2.8,2.5,1.7,1.1,0.8,2.4,3.1,19.8,2.5,37.3,4,0
0.671,22,7.5,17,0.442,0.4,1.3,0.33,6.5,7.7,0.842,1.5,3.1,4.6,8.2,3.9,1.9,0.4,1.3,2.5,5.2,21.9,1.4,42.6,31,3
0.672,23,3.5,8.2,0.43,2.1,5.3,0.393,1.5,1.8,0.812,2,3.5,5.5,0.8,0.8,0.5,0.6,0.4,2.1,1.5,10.6,4.3,20.9,6,0
0.382,28,2.7,6.6,0.41,0.9,2.8,0.341,0.8,1.1,0.718,0.8,2.5,3.3,1.6,0.7,0.8,0.2,0.1,2.1,0.8,7.2,-1.5,15.7,1,0
0.243,26,1.9,3.1,0.598,0,0,0,1.6,2.3,0.681,1,1.7,2.7,0.4,1,0.3,0.6,0.4,2.8,2.3,5.3,-1.8,10.9,0,0
0.564,26,3,6.3,0.472,0.2,0.6,0.34,1.1,1.5,0.767,0.5,1.9,2.4,0.9,0.8,0.9,0.3,0.7,1.5,1.2,7.3,1,14.3,0,0
0.108,22,3,6.5,0.456,0,0.1,0,1.8,3,0.618,2,2.2,4.3,0.5,1.4,0.4,0.5,0.9,2.4,2.8,7.8,-3.8,14.8,2,0
0.275,31,3.4,7.1,0.473,0,0,0,1.4,1.9,0.73,2.7,5.6,8.2,0.8,1.7,0.5,1.5,0.4,2.8,1.6,8.1,-3.2,23.2,16,0
0.419,27,0.9,2.3,0.403,0.4,1,0.387,0.2,0.3,0.6,0,1,1,0.5,0.4,0.3,0.2,0.1,1.1,0.4,2.5,-2.5,5.7,0,0
0.388,27,3.6,8.9,0.402,1.4,3.9,0.37,1.2,1.4,0.844,0.4,2.3,2.8,2,1,0.8,0.1,0.4,2,1.4,9.8,-4.1,17.7,1,0
0.517,35,0.7,1.5,0.432,0.1,0.1,1,0.2,0.3,0.625,0.6,0.8,1.4,0.1,0.4,0.1,0.2,0,1.5,0.2,1.6,-2.5,3.9,0,0
0.297,26,2.6,6.5,0.402,0.8,2.1,0.359,1.2,1.6,0.733,0.5,1,1.5,3,1.7,0.7,0.1,0.5,1.7,1.5,7.2,-2.4,14,0,0
0.756,24,1.5,2.7,0.559,0,0,0,1,1.5,0.65,0.9,2,2.9,0.5,0.8,0.4,0.6,0.4,2.5,1.3,4,-0.8,10.2,0,0
0.671,21,4.1,7.5,0.543,0,0,0,1.7,2.2,0.75,2.6,5,7.6,0.3,0.9,0.4,2.4,0.4,3.3,1.8,9.9,1.7,26.9,12,0
0.512,32,2.8,6.2,0.45,1.2,3.3,0.382,0.8,1.1,0.688,1.1,3.5,4.5,2.3,1,0.8,1,0.2,1.9,1.6,7.6,2.3,21,3,0
0.695,25,3.3,7.8,0.425,0.9,2.6,0.349,1.1,1.2,0.911,0.4,1.5,1.9,1.2,0.9,0.8,0.2,0.4,1.5,0.9,8.7,1.4,14.9,0,0
0.757,39,3.6,5.4,0.667,0,0,0,2,3.5,0.557,1.3,3.5,4.8,0.7,1.5,0.4,1.1,0.4,3.2,2.7,9.2,5.2,19.2,3,0
0.425,25,2.5,5.4,0.466,0,0.1,0.25,1.5,1.7,0.864,0.4,1.6,2,2.2,1.2,0.6,0.4,0.2,1.5,1.5,6.6,-1,14.3,0,0
0.7,33,5.4,10.4,0.52,0.1,0.4,0.152,1.6,2.1,0.768,2.1,4.8,6.9,1.4,1.6,0.9,0.6,0.6,1.8,1.5,12.5,-0.1,25.6,12,0
0.516,25,2.6,6,0.426,1.3,3.3,0.401,0.6,0.8,0.837,0.9,2.8,3.7,0.7,0.7,0.6,0.8,0.3,2.6,0.8,7.1,0.1,16.2,1,0
0.644,27,1.7,3.7,0.468,0,0,0,1,1.3,0.773,1.6,3.1,4.6,0.5,0.7,0.4,0.4,0.4,2.1,1.4,4.5,-0.6,12.6,0,0
0.4,24,0.4,1.3,0.28,0.1,0.5,0.2,0.1,0.1,1,0,0.3,0.3,0.4,0.2,0.1,0,0.1,0.1,0.2,0.9,-0.8,1.9,0,0
0.083,23,0.3,1.3,0.2,0,0,0,0,0.2,0,0.6,0.6,1.2,0.2,0.3,0.2,0.2,0.3,0.4,0.1,0.5,-1.1,2.9,0,0
0.385,26,1.3,3.1,0.405,0,0,0,1.1,1.6,0.661,1.2,1.7,2.9,0.8,0.9,0.3,0.6,0.4,2.4,1.4,3.6,-1.5,9.9,0,0
0.288,24,3.9,8.7,0.444,0.3,1,0.279,1.2,1.6,0.766,0.7,1.9,2.6,1.8,1.5,0.6,0,0.6,1.5,1.1,9.2,-5.8,15.4,0,0
0.506,23,3.3,7,0.465,0.1,0.5,0.243,0.6,1.1,0.534,1.6,4.1,5.7,1.5,1.2,0.4,0.9,0.5,2.5,1.1,7.2,-0.7,18.8,7,0
